"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","User Management: Add New User","8","10","","0"
"8","","0","Login test: Login with empty field","17","0","","0"
"4","","0","Login test: Login with invalid credentials - effective","11","0","","0"
"24","","0","Login and Product Management: Login with empty field","20","0","","0"
"0","","13","","0","0","","0"
"5","","2","Login test: Login with valid credentials","39","2","","0"
"2","","0","Login and Product Management: Update Product Details","14","4","","0"
"0","","0","Login test: Add New Product","20","0","","0"
"2","","0","Login test: Update Product Details","2","16","","0"
"4","","0","Login and Product Management: Add New Product","10","8","","0"
"0","","2","Login and Product Management: User success login","8","0","","0"
"4","","0","Login and Product Management: Add New Customer","8","8","","0"
"4","","0","Login test: Login with invalid credentials - ineffective","17","4","","0"
"2","","0","User Management: Update User Details","14","4","","0"
